Location,CONTRACTOR_LABOR,CBA_Exempt,Required_Clearance,Labor_Category,Base_Hours,OY1_Hours,OY2_Hours,OY3_Hours,OY4_Hours,Total_Hours,Region_ID,Region_Name,Labor Category,Occupation_Code,Title,Rate,Required Clearance,CBA - Exempt,Hourly_Rate
Fallon,SCA,CBA,SECRET,UXO Technician II,86040.0,17208.0,17208.0,17208.0,17208.0,17208.0,NV_Fallon,NV Churchill/Douglas,UXO Technician II,30492.0,Unexploded Ordnance (UXO) Technician II,36.19,SECRET,CBA,36.19
Fallon,SCA,CBA,SECRET,UXO Technician III,57360.0,11472.0,11472.0,11472.0,11472.0,11472.0,NV_Fallon,NV Churchill/Douglas,UXO Technician III,30493.0,Unexploded Ordnance (UXO) Technician III,43.37,SECRET,CBA,43.37
Fallon,Non-SCA,Exempt,SECRET,Electrician,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,65.0
Fallon,SCA,CBA,SECRET,General Maintenance Worker,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,NV_Fallon,NV Churchill/Douglas,General Maintenance Worker,23370.0,General Maintenance Worker,24.08,SECRET,CBA,24.08
Fallon,Non-SCA,Exempt,SECRET,Generator Technician II,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,55.0
Fallon,Non-SCA,Exempt,SECRET,Generator Technician III,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,,,,,,,,,65.0
Fallon,SCA,SCLS,SECRET,"Heating, Ventilation and Air Conditioning",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,NV_Fallon,NV Churchill/Douglas,"Heating, Ventilation and Air Conditioning",23410.0,"Heating, Ventilation And Air-Conditioning",29.04,SECRET,SCLS,29.04
Fallon,SCA,CBA,SECRET,Heavy Equipment Mechanic/Operator,76480.0,15296.0,15296.0,15296.0,15296.0,15296.0,NV_Fallon,NV Churchill/Douglas,Heavy Equipment Mechanic/Operator,23430.0,Heavy Equipment Mechanic,40.62,SECRET,CBA,40.62
Fallon,SCA,CBA,SECRET,Machinist,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,NV_Fallon,NV Churchill/Douglas,Machinist,23550.0,"Machinist, Maintenance",27.23,SECRET,CBA,27.23
Fallon,SCA,CBA,SECRET,Motor Vehicle Mechanic,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,NV_Fallon,NV Churchill/Douglas,Motor Vehicle Mechanic,5190.0,Motor Vehicle Mechanic,28.56,SECRET,CBA,28.56
Fallon,SCA,CBA,SECRET,Automotive Worker,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,NV_Fallon,NV Churchill/Douglas,Automotive Worker,5070.0,Automotive Worker,25.75,SECRET,CBA,25.75
Fallon,SCA,CBA,SECRET,METROLOGY TECHNICIAN I,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,NV_Fallon,NV Churchill/Douglas,METROLOGY TECHNICIAN I,23591.0,Metrology Technician I,35.38,SECRET,CBA,35.38
Fallon,Non-SCA,CBA,SECRET,Surveyor ,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,80.0
Fallon,Non-SCA,Exempt,SECRET,Maintenance Coordinator,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,,,,,,,,,80.0
Fallon,Non-SCA,Exempt,SECRET,Logistician Analyst IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
Fallon,SCA,CBA,SECRET,Supply Technician,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,NV_Fallon,NV Churchill/Douglas,Supply Technician,1410.0,Supply Technician,30.26,SECRET,CBA,30.26
Fallon,Non-SCA,Exempt,SECRET,Security Coordinator,66920.0,13384.0,13384.0,13384.0,13384.0,13384.0,,,,,,,,,70.0
Fallon,Non-SCA,CBA,SECRET,Quality Assurance/Safety Evaluator,57360.0,11472.0,11472.0,11472.0,11472.0,11472.0,,,,,,,,,75.0
Fallon,Non-SCA,Exempt,SECRET,Quality Control Inspector,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,80.0
Hefti,Non-SCA,Exempt,SECRET,Mission Coordinator,267680.0,53536.0,53536.0,53536.0,53536.0,53536.0,,,,,,,,,85.0
Hefti,Non-SCA,Exempt,SECRET,"Mission Coordinator, Senior",66920.0,13384.0,13384.0,13384.0,13384.0,13384.0,,,,,,,,,95.0
Hefti,Non-SCA,Exempt,SECRET,Network Administrator III,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,80.0
Hefti,Non-SCA,Exempt,SECRET,Network Administrator IV,411080.0,82216.0,82216.0,82216.0,82216.0,82216.0,,,,,,,,,80.0
Hefti,Non-SCA,Exempt,SECRET,Network Administrator V,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,80.0
Hefti,SCA,SCLS,SECRET,Computer Operator IV,57360.0,11472.0,11472.0,11472.0,11472.0,11472.0,UNKNOWN,,Computer Operator IV,14044.0,,,SECRET,SCLS,80.0
Hefti,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,133840.0,26768.0,26768.0,26768.0,26768.0,26768.0,,,,,,,,,75.0
Hefti,Non-SCA,CBA,SECRET,Electronics Technician II,66920.0,13384.0,13384.0,13384.0,13384.0,13384.0,UNKNOWN,,Electronics Technician II,23182.0,,,SECRET,CBA,80.0
Hefti,SCA,SCLS,SECRET,Engineering Technician IV,353720.0,70744.0,70744.0,70744.0,70744.0,70744.0,UNKNOWN,,Engineering Technician IV,30084.0,,,SECRET,SCLS,80.0
Hefti,SCA,SCLS,SECRET,Engineering Technician V,181640.0,36328.0,36328.0,36328.0,36328.0,36328.0,UNKNOWN,,Engineering Technician V,30085.0,,,SECRET,SCLS,80.0
Hefti,Non-SCA,Exempt,SECRET,Maintenance Coordinator,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,,,,,,,,,80.0
Hefti,Non-SCA,Exempt,SECRET,Security Coordinator,76480.0,15296.0,15296.0,15296.0,15296.0,15296.0,,,,,,,,,70.0
JAX,Non-SCA,Exempt,SECRET,Site Manager,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
JAX,Non-SCA,Exempt,SECRET,Mission Coordinator,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,85.0
JAX,Non-SCA,Exempt,SECRET,"Mission Coordinator, Senior",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
JAX,Non-SCA,Exempt,SECRET,Operations Analyst,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,80.0
JAX,SCA,CBA,SECRET,Electronics Technician III,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,FL_Jacksonville,FL Jacksonville,Electronics Technician III,23183.0,Electronics Technician Maintenance III,30.79,SECRET,CBA,30.79
JAX,SCA,SCLS,SECRET,Engineering Technician IV,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,FL_Jacksonville,FL Jacksonville,Engineering Technician IV,30084.0,Engineering Technician IV,27.46,SECRET,SCLS,27.46
JAX,SCA,CBA,SECRET,Engineering Technician V,57360.0,11472.0,11472.0,11472.0,11472.0,11472.0,FL_Jacksonville,FL Jacksonville,Engineering Technician V,30085.0,Engineering Technician V,33.59,SECRET,CBA,33.59
JAX,SCA,SCLS,SECRET,Engineering Technician VI,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,FL_Jacksonville,FL Jacksonville,Engineering Technician VI,30086.0,Engineering Technician VI,40.64,SECRET,SCLS,40.64
JAX,Non-SCA,Exempt,SECRET,Logistician Analyst IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
JAX,Non-SCA,Exempt,SECRET,Quality Assurance/Safety Evaluator,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
Key West,Non-SCA,Exempt,SECRET,Site Manager,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
Key West,Non-SCA,Exempt,SECRET,Mission Coordinator,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,85.0
Key West,Non-SCA,Exempt,SECRET,"Mission Coordinator, Senior",9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,95.0
Key West,SCA,CBA,SECRET,Computer Operator IV,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,FL_Monroe,FL Monroe (Keys),Computer Operator IV,14044.0,Computer Operator IV,33.31,SECRET,CBA,33.31
Key West,SCA,SCLS,SECRET,Computer Operator V,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,FL_Monroe,FL Monroe (Keys),Computer Operator V,14045.0,Computer Operator V,36.88,SECRET,SCLS,36.88
Key West,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,75.0
Key West,SCA,SCLS,SECRET,Engineering Technician IV,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,FL_Monroe,FL Monroe (Keys),Engineering Technician IV,30084.0,Engineering Technician IV,28.52,SECRET,SCLS,28.52
Key West,SCA,CBA,SECRET,Engineering Technician V,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,FL_Monroe,FL Monroe (Keys),Engineering Technician V,30085.0,Engineering Technician V,34.88,SECRET,CBA,34.88
Key West,Non-SCA,Exempt,SECRET,Logistician Analyst IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
Key West,Non-SCA,Exempt,SECRET,Security Coordinator,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,,,,,,,,,70.0
Key West,Non-SCA,Exempt,SECRET,Quality Assurance/Safety Evaluator,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
Lemoore,Non-SCA,Exempt,SECRET,Site Lead,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,80.0
Lemoore,Non-SCA,Exempt,SECRET,Mission Coordinator,38240.0,7648.0,7648.0,7648.0,7648.0,7648.0,,,,,,,,,85.0
Lemoore,SCA,SCLS,SECRET,Computer Operator III,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_Los_Angeles,CA Los Angeles,Computer Operator III,14043.0,Computer Operator III,28.91,SECRET,SCLS,28.91
Lemoore,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,75.0
Lemoore,SCA,CBA,SECRET,Electronics Technician III,57360.0,11472.0,11472.0,11472.0,11472.0,11472.0,CA_Los_Angeles,CA Los Angeles,Electronics Technician III,23183.0,Electronics Technician Maintenance III,36.58,SECRET,CBA,36.58
Lemoore,SCA,CBA,SECRET,Electronics Technician II,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,CA_Los_Angeles,CA Los Angeles,Electronics Technician II,23182.0,Electronics Technician Maintenance II,34.45,SECRET,CBA,34.45
Lemoore,SCA,SCLS,SECRET,Engineering Technician IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_Los_Angeles,CA Los Angeles,Engineering Technician IV,30084.0,Engineering Technician IV,31.97,SECRET,SCLS,31.97
Miramar,Non-SCA,Exempt,SECRET,Site Lead,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,80.0
Miramar,Non-SCA,Exempt,SECRET,Mission Coordinator,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,85.0
Miramar,SCA,CBA,SECRET,Computer Operator III,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,CA_San_Diego,CA San Diego,Computer Operator III,14043.0,Computer Operator III,30.23,SECRET,CBA,30.23
Miramar,SCA,CBA,SECRET,Computer Operator V,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,Computer Operator V,14045.0,Computer Operator V,37.21,SECRET,CBA,37.21
Miramar,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,,,,,,,,,75.0
Miramar,SCA,SCLS,SECRET,Engineering Technician IV,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,Engineering Technician IV,30084.0,Engineering Technician IV,32.53,SECRET,SCLS,32.53
Miramar,SCA,CBA,SECRET,Electronics Technician II (INST),9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,Electronics Technician II (INST),23182.0,Electronics Technician Maintenance II,36.22,SECRET,CBA,36.22
Miramar,SCA,CBA,SECRET,Electronics Technician III,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,CA_San_Diego,CA San Diego,Electronics Technician III,23183.0,Electronics Technician Maintenance III,38.28,SECRET,CBA,38.28
Miramar,SCA,CBA,SECRET,Computer Systems Analyst I,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,Computer Systems Analyst I,14101.0,Computer Systems Analyst I,(see 1),SECRET,CBA,75.0
Miramar,SCA,CBA,SECRET,Computer Systems Analyst II,9560.0,1912.0,1912.0,1912.0,1912.0,1912.0,CA_San_Diego,CA San Diego,Computer Systems Analyst II,14102.0,Computer Systems Analyst II,(see 1),SECRET,CBA,75.0
Miramar,Non-SCA,Exempt,SECRET,Security Coordinator,19120.0,3824.0,3824.0,3824.0,3824.0,3824.0,,,,,,,,,70.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Cybersecurity Analyst III,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Cybersecurity Analyst IV,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Mission Coordinator,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,85.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Network Administrator III,6373.333333333334,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,,,,,,,,,80.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Network Administrator IV,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,,,,,,,,,80.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Network Engineer IV,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,95.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,75.0
MTEN - 29 Palms,Non-SCA,Exempt,SECRET,Technical Support Specialist,22306.666666666664,4461.333333333333,4461.333333333333,4461.333333333333,4461.333333333333,4461.333333333333,,,,,,,,,80.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Cybersecurity Analyst III,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Cybersecurity Analyst IV,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Mission Coordinator,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,85.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Network Administrator III,6373.333333333334,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,,,,,,,,,80.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Network Administrator IV,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,,,,,,,,,80.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Network Engineer IV,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,95.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,75.0
MTEN - Camp Lejeune,Non-SCA,Exempt,SECRET,Technical Support Specialist,22306.666666666664,4461.333333333333,4461.333333333333,4461.333333333333,4461.333333333333,4461.333333333333,,,,,,,,,80.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Cybersecurity Analyst III,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Cybersecurity Analyst IV,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Mission Coordinator,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,85.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Network Administrator III,6373.333333333334,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,,,,,,,,,80.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Network Administrator IV,28680.0,5736.0,5736.0,5736.0,5736.0,5736.0,,,,,,,,,80.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Network Engineer IV,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,95.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Tactical Data Link Analyst,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,75.0
MTEN - Camp Pendleton,Non-SCA,Exempt,SECRET,Technical Support Specialist,22306.666666666664,4461.333333333333,4461.333333333333,4461.333333333333,4461.333333333333,4461.333333333333,,,,,,,,,80.0
MTEN - MCB Kaneohe Bay,Non-SCA,Exempt,SECRET,Cybersecurity Analyst III,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - MCB Kaneohe Bay,Non-SCA,Exempt,SECRET,Cybersecurity Analyst IV,3186.666666666667,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,637.3333333333334,,,,,,,,,80.0
MTEN - MCB Kaneohe Bay,Non-SCA,Exempt,SECRET,Mission Coordinator,11153.333333333332,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,2230.6666666666665,,,,,,,,,85.0
MTEN - MCB Kaneohe Bay,Non-SCA,Exempt,SECRET,Network Administrator III,6373.333333333334,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,1274.6666666666667,,,,,,,,,80.0
